title,description,short_description,sku,regular_price,sale_price,stock,categories,images,weight,dimensions
"Ghế sofa hiện đại","Ghế sofa vải nỉ cao cấp, thiết kế tối giản, phù hợp phòng khách.","Ghế sofa hiện đại, kích thước 200x80x90 cm.","SOFA-001",5000000,4500000,50,"Sofas|Modern Sofas","",15,"200x80x90"
"Ghế sofa cổ điển","Ghế sofa bọc da, phong cách cổ điển, sang trọng.","Ghế sofa cổ điển, kích thước 220x85x95 cm.","SOFA-002",8000000,,30,"Sofas|Classic Sofas","",18,"220x85x95"
"Ghế sofa góc","Ghế sofa góc vải nỉ, tối ưu không gian phòng khách.","Ghế sofa góc, kích thước 250x200x90 cm.","SOFA-003",10000000,9000000,20,"Sofas|Sectional Sofas","",25,"250x200x90"
"Sofa giường đa năng","Ghế sofa kiêm giường ngủ, vải nỉ cao cấp.","Sofa giường, kích thước 200x90x85 cm.","SOFA-004",6000000,,40,"Sofas|Sofa Beds","",20,"200x90x85"
"Bàn trà gỗ","Bàn trà gỗ tự nhiên, phong cách Scandinavian.","Bàn trà gỗ, kích thước 100x60x40 cm.","TABLE-001",2000000,1800000,30,"Tables|Coffee Tables","",8,"100x60x40"
"Bàn ăn hiện đại","Bàn ăn mặt kính, khung thép không gỉ.","Bàn ăn hiện đại, kích thước 180x90x75 cm.","TABLE-002",4500000,,25,"Tables|Dining Tables","",15,"180x90x75"
"Bàn phụ góc","Bàn phụ gỗ, phù hợp đặt cạnh sofa.","Bàn phụ, kích thước 50x50x55 cm.","TABLE-003",800000,,50,"Tables|Side Tables","",5,"50x50x55"
"Bàn console sang trọng","Bàn console mặt đá, khung kim loại.","Bàn console, kích thước 120x40x80 cm.","TABLE-004",3000000,,20,"Tables|Console Tables","",12,"120x40x80"
"Bàn ngoài trời","Bàn gỗ ngoài trời, chống thấm nước.","Bàn ngoài trời, kích thước 150x80x75 cm.","TABLE-005",2500000,,15,"Tables|Outdoor Tables","",10,"150x80x75"
"Ghế ăn bọc vải","Ghế ăn bọc vải nỉ, khung gỗ chắc chắn.","Ghế ăn, kích thước 50x50x80 cm.","CHAIR-001",800000,700000,100,"Chairs|Dining Chairs","",5,"50x50x80"
"Ghế văn phòng xoay","Ghế văn phòng bọc lưới, điều chỉnh độ cao.","Ghế văn phòng, kích thước 60x60x110 cm.","CHAIR-002",1500000,,60,"Chairs|Office Chairs","",8,"60x60x110"
"Ghế trang trí","Ghế bọc nhung, phong cách hiện đại.","Ghế trang trí, kích thước 55x55x85 cm.","CHAIR-003",1200000,,40,"Chairs|Accent Chairs","",6,"55x55x85"
"Ghế quầy bar","Ghế bar bọc da, chân kim loại.","Ghế bar, kích thước 40x40x100 cm.","CHAIR-004",1000000,,30,"Chairs|Bar Stools","",4,"40x40x100"
"Ghế thư giãn","Ghế thư giãn bọc vải, có tựa chân.","Ghế thư giãn, kích thước 80x90x100 cm.","CHAIR-005",2000000,,25,"Chairs|Lounge Chairs","",10,"80x90x100"
"Giường đơn gỗ","Giường đơn gỗ sồi, thiết kế tối giản.","Giường đơn, kích thước 100x200x40 cm.","BED-001",4000000,,30,"Beds|Single Beds","",20,"100x200x40"
"Giường đôi hiện đại","Giường đôi bọc vải, đầu giường êm ái.","Giường đôi, kích thước 180x200x45 cm.","BED-002",10000000,9000000,20,"Beds|Double Beds","",30,"180x200x45"
"Giường tầng trẻ em","Giường tầng gỗ, an toàn cho trẻ.","Giường tầng, kích thước 100x200x150 cm.","BED-003",6000000,,15,"Beds|Bunk Beds","",25,"100x200x150"
"Giường king cao cấp","Giường king bọc da, phong cách sang trọng.","Giường king, kích thước 200x200x50 cm.","BED-004",15000000,,10,"Beds|King Beds","",35,"200x200x50"
"Giường tích hợp kệ","Giường đôi với kệ lưu trữ dưới gầm.","Giường tích hợp, kích thước 180x200x40 cm.","BED-005",12000000,,12,"Beds|Storage Beds","",32,"180x200x40"
"Tủ quần áo hiện đại","Tủ quần áo cánh lùa, nhiều ngăn.","Tủ quần áo, kích thước 200x60x220 cm.","STORAGE-001",8000000,,20,"Storage|Wardrobes","",50,"200x60x220"
"Kệ sách gỗ","Kệ sách gỗ tự nhiên, 5 tầng.","Kệ sách, kích thước 80x30x180 cm.","STORAGE-002",2500000,,30,"Storage|Bookshelves","",15,"80x30x180"
"Kệ tivi tối giản","Kệ tivi gỗ, thiết kế hiện đại.","Kệ tivi, kích thước 150x40x50 cm.","STORAGE-003",3000000,,25,"Storage|TV Units","",12,"150x40x50"
"Tủ bếp mô-đun","Tủ bếp gỗ công nghiệp, dễ lắp ráp.","Tủ bếp, kích thước 200x60x85 cm.","STORAGE-004",5000000,,15,"Storage|Kitchen Cabinets","",20,"200x60x85"
"Giá giày gọn nhẹ","Giá giày 4 tầng, chất liệu thép.","Giá giày, kích thước 60x30x80 cm.","STORAGE-005",500000,,50,"Storage|Shoe Racks","",5,"60x30x80"
"Đèn bàn cổ điển","Đèn bàn ánh sáng ấm, phong cách cổ điển.","Đèn bàn, chiều cao 40 cm.","DECOR-001",500000,,50,"Decor|Lamps","",2,"20x20x40"
